number,issue_date,department,applies_to,meant_for,subject,path
RBI/2026-27/220,2026-07-31,DCM,All Banks,The Chairman/ Managing Director/ Chief Executive Officer All Banks,"Fake Indian Currency Notes (FICNs)-Detection, Reporting and Monitoring",
RBI/DoS/2026-27/408,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/409,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Concurrent Audit) Directions, 2026",
RBI/DoS/2026-27/410,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/411,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Digital Payment Security Controls) Directions, 2026",
RBI/DoS/2026-27/412,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/413,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/414,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/415,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/416,2026-07-31,DOS,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/417,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/419,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/418,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Concurrent Audit) Directions, 2026",
RBI/DoS/2026-27/420,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Digital Payment Security Controls) Directions, 2026",
RBI/DoS/2026-27/421,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/422,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/423,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/424,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/425,2026-07-31,DOS,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/426,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/427,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks – Concurrent Audit) Directions, 2026",
RBI/DoS/2026-27/428,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks - Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/429,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks – Digital Payment Security Controls) Directions, 2026",
RBI/DoS/2026-27/431,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/430,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/432,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks – Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/433,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/434,2026-07-31,DOS,Payments Banks,,"Reserve Bank of India (Payments Banks – Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/435,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/436,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Concurrent Audit) Directions, 2026",
RBI/DoS/2026-27/437,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/438,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Digital Payment Security Controls) Directions, 2026",
RBI/DoS/2026-27/439,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/441,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/440,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/442,2026-07-31,DOS,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/444,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/445,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Concurrent Audit) Directions, 2026",
RBI/DoS/2026-27/443,2026-07-31,DOS,,,"In exercise of the powers conferred by Section 35-A read with Section 56 of the Banking Regulation Act, 1949, and all other provisions / laws enabling the Reserve Bank of India (‘RBI’) in this regard, RBI being satisfied that it is necessary and expedient in the public interest so to do, hereby, issues Directions hereinafter specified.",
RBI/DoS/2026-27/446,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/447,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/448,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/449,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/450,2026-07-31,DOS,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/451,2026-07-31,DOS,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/454,2026-07-31,DOS,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/452,2026-07-31,DOS,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/453,2026-07-31,DOS,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/455,2026-07-31,DOS,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/456,2026-07-31,DOS,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/457,2026-07-31,DOS,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/458,2026-07-31,DOS,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/459,2026-07-31,DOS,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions - Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/460,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Compliance Function) Directions, 2026",
RBI/DoS/2026-27/461,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/DoS/2026-27/463,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Fraud Risk Management) Directions, 2026",
RBI/DoS/2026-27/462,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Digital Payment Security Controls) Directions, 2026",
RBI/DoS/2026-27/465,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Statutory Audit) Directions, 2026",
RBI/DoS/2026-27/466,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/467,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/464,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Internal Audit Function) Directions, 2026",
RBI/DoS/2026-27/468,2026-07-31,DOS,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies - Auditor’s Report) Directions, 2026",
RBI/DoS/2026-27/469,2026-07-31,DOS,Asset Reconstruction Companies,,"Reserve Bank of India (Asset Reconstruction Companies - Supervisory Returns) Directions, 2026",
RBI/DoS/2026-27/471,2026-07-31,DOS,Credit Information Companies,,"Reserve Bank of India (Credit Information Companies - Miscellaneous) Supervisory Directions, 2026",
RBI/DoS/2026-27/470,2026-07-31,DOS,Credit Information Companies,,"Reserve Bank of India (Credit Information Companies – Cybersecurity, Technology: Risk, Resilience and Assurance Framework) Directions, 2026",
RBI/2026-27/218,2026-07-30,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Interest Rate on Deposits) Second Amendment Directions, 2026",
RBI/2026-27/219,2026-07-30,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Interest Rate on Deposits) Second Amendment Directions, 2026",
RBI/2026-27/217,2026-07-30,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/216,2026-07-30,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Interest Rate on Deposits) Second Amendment Directions, 2026",
RBI/2026-27/215,2026-07-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Interest Rate on Deposits) Second Amendment Directions, 2026",
RBI/2026-27/214,2026-07-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Second Amendment Directions, 2026",
RBI/DOR/2026-27/213,2026-07-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) Fourth Amendment Directions, 2026",
RBI/DOR/2026-27/212,2026-07-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Governance) Third Amendment Directions, 2026",
RBI/DOR/2026-27/211,2026-07-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Asset Liability Management) Amendment Directions, 2026",
RBI/2026-27/210,2026-07-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Fifth Amendment Directions, 2026",
RBI/DOR/2026-27/208,2026-07-30,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Governance) Third Amendment Directions, 2026",
RBI/DOR/2026-27/209,2026-07-30,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Financial Statements: Presentation and Disclosures) Second Amendment Directions, 2026",
RBI/DOR/2026-27/206,2026-07-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Governance) Third Amendment Directions, 2026",
RBI/DOR/2026-27/205,2026-07-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Asset Liability Management) Second Amendment Directions, 2026",
RBI/2026-27/204,2026-07-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Prudential Norms on Capital Adequacy) Seventh Amendment Directions, 2026",
RBI/DOR/2026-27/207,2026-07-30,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) Eighth Amendment Directions, 2026",
RBI/2026-27/203,2026-07-17,AP-DIR,Authorised Dealers (Category-I),"To, All Authorised Dealer Category-I banks",Special Rupee Vostro Accounts (SRVAs),
RBI/2026-27/202,2026-07-16,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/201,2026-07-16,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/200,2026-07-16,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Income Recognition, Asset Classification and Provisioning) Third Amendment Directions, 2026",
RBI/2026-27/198,2026-07-16,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/199,2026-07-16,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/197,2026-07-16,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies Income Recognition, Asset Classification and Provisioning) Third Amendment Directions, 2026",
RBI/2026-27/196,2026-07-16,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/195,2026-07-16,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Second Amendment Directions, 2026",
RBI/2026-27/194,2026-07-16,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/193,2026-07-16,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/192,2026-07-16,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/191,2026-07-16,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Resolution of Stressed Assets) Third Amendment Directions, 2026",
RBI/2026-27/190,2026-07-16,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/189,2026-07-16,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/188,2026-07-16,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/187,2026-07-16,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Resolution of Stressed Assets) Third Amendment Directions, 2026",
RBI/2026-27/186,2026-07-15,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Designation of 23 individuals under clause (a) of sub-section (1) and sub-section (2) of section 35 of the Unlawful Activities (Prevention) Act, 1967 and listed in the Fourth Schedule of the Act",
RBI/2026-27/185,2026-07-15,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Credit Facilities) Second Amendment Directions, 2026",
RBI/2026-27/184,2026-07-15,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Credit Facilities) Second Amendment Directions, 2026",
RBI/2026-27/183,2026-07-15,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Credit Facilities) Second Amendment Directions, 2026",
RBI/2026-27/182,2026-07-15,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Fourth Amendment Directions, 2026",
RBI/2026-27/181,2026-07-15,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Fifth Amendment Directions, 2026",
RBI/2026-27/180,2026-07-14,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Governance) Amendment Directions, 2026",
RBI/2026-27/179,2026-07-14,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Governance) Amendment Directions, 2026",
RBI/2026-27/178,2026-07-14,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Governance) Amendment Directions, 2026",
RBI/2026-27/177,2026-07-14,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Governance) Amendment Directions, 2026",
RBI/2026-27/176,2026-07-09,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Amendment of 1 Entry",
RBI/FMRD/2026-27/407,2026-06-25,FMRD,,To All participants in credit derivatives markets,"Master Direction – Reserve Bank of India (Credit Derivatives) Directions, 2026",
RBI/2026-27/175,2026-06-24,AP-DIR,Authorised Persons,All Authorised Persons,"Review of Circulars issued under Foreign Exchange Management Act, 1999 (FEMA)",
RBI/2026-27/174,2026-06-24,AP-DIR,Authorised Persons,To All Authorised Persons,"Modification of Returns / Reporting requirements under FEMA, 1999",
RBI/2026-27/173,2026-06-24,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/172,2026-06-24,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/171,2026-06-24,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/170,2026-06-24,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/169,2026-06-24,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/168,2026-06-24,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/167,2026-06-24,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Responsible Business Conduct) Third Amendment Directions, 2026",
RBI/2026-27/166,2026-06-24,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Financial Statements: Presentation and Disclosures) Second Amendment Directions, 2026",
RBI/2026-27/164,2026-06-24,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Concentration Risk Management) Third Amendment Directions, 2026",
RBI/2026-27/165,2026-06-24,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Governance) Amendment Directions, 2026",
RBI/2026-27/163,2026-06-24,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Registration, Exemptions and Framework for Scale Based Regulation) Second Amendment Directions, 2026",
RBI/2026-27/161,2026-06-24,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions (AIFIs) – Prudential Norms on Capital Adequacy) Fourth Amendment Directions, 2026",
RBI/2026-27/162,2026-06-24,DOR,Standalone Primary Dealers; Primary Dealers,,"Reserve Bank of India (Standalone Primary Dealers) Second Amendment Directions, 2026",
RBI/2026-27/160,2026-06-24,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2026-27/159,2026-06-24,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/2026-27/158,2026-06-24,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/2026-27/156,2026-06-24,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Seventh Amendment Directions, 2026",
RBI/2026-27/157,2026-06-24,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Prudential Norms on Capital Adequacy) Amendment Directions, 2026",
RBI/2026-27/155,2026-06-24,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Tenth Amendment Directions, 2026",
RBI/2026-27/154,2026-06-24,DGBA,Agency Banks,,"Reserve Bank of India [Disbursement of Government Pension by Agency Banks (ABs)] First Amendment Directions, 2026",
RBI/2026-27/151,2026-06-23,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Third Amendment Directions, 2026",
RBI/2026-27/152,2026-06-23,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Fourth Amendment Directions, 2026",
RBI/2026-27/153,2026-06-23,AP-DIR,Authorised Dealers (Category-I),"To, All Authorised Dealer Category-I Banks",Open positions of Authorised Dealer Category-I banks,
RBI/DPSS/2026-27/406,2026-06-23,DPSS,,,The Trade Receivables Discounting System Platform Operators and Participants,
RBI/FIDD/2026-27/405,2026-06-19,FIDD,Rural Co-operative Banks,,"Reserve Bank of India [Rural Co-operative Banks - Kisan Credit Card (KCC) Scheme] Directions, 2026",
RBI/FIDD/2026-27/404,2026-06-19,FIDD,Regional Rural Banks,,"Reserve Bank of India [Regional Rural Banks - Kisan Credit Card (KCC) Scheme] Directions, 2026",
RBI/FIDD/2026-27/403,2026-06-19,FIDD,Small Finance Banks,,"Reserve Bank of India [Small Finance Banks - Kisan Credit Card (KCC) Scheme] Directions, 2026",
RBI/2026-27/150,2026-06-19,FIDD,Rural Co-operative Banks; Commercial Banks; Foreign Banks,The Chairman/Managing Director / Chief Executive Officer All Commercial Banks excluding Foreign Banks (other than Wholly Owned Subsidiaries of Foreign Banks) All State Co-operative Banks All District Central Co-operative Banks,Lead Bank Scheme,
RBI/2026-27/149,2026-06-19,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Third Amendment Directions, 2026",
RBI/FIDD/2026-27/402,2026-06-19,FIDD,Commercial Banks,,"Reserve Bank of India [Commercial Banks - Kisan Credit Card (KCC) Scheme] Directions, 2026",
RBI/2026-27/148,2026-06-19,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Third Amendment Directions, 2026",
RBI/2026-27/147,2026-06-19,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Third Amendment Directions, 2026",
RBI/2026-27/146,2026-06-19,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Third Amendment Directions, 2026",
RBI/2026-27/145,2026-06-19,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Third Amendment Directions, 2026",
RBI/2026-27/144,2026-06-19,AP-DIR,Authorised Dealers (Category-I),All Authorised Dealer Category-I Banks,"Reporting of FCNR (B) Deposits, ECB and OFCB mobilized under Reserve Bank’s Swap Facility",
RBI/2026-27/143,2026-06-17,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/141,2026-06-17,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/142,2026-06-17,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/140,2026-06-17,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Interest Rate on Deposits) Amendment Directions, 2026",
